id,text
1,"Battery lasts barely 4 hours, way short of the advertised 10."
2,Setup took two minutes and it just worked. Genuinely impressed.
3,"It's fine. Does what it says, nothing more."
4,Customer support ignored three emails before I gave up.
5,The camera quality on this is shockingly good for the price.
6,"Arrived on time, packaging was okay, no complaints really."
7,"Crashed twice during setup, had to factory reset."
8,"Best purchase I've made this year, recommend to everyone."
9,"It works as described, but the app UI feels dated."
10,"Returned it after a week, build quality felt cheap."
11,"Five stars, exceeded what I expected at this price point."
12,"Average product, similar to others in this price range."
13,"Stopped charging after two weeks, total waste of money."
14,"Sound quality is incredible, bass is deep without distortion."
15,Instructions were unclear but I figured it out eventually.
16,"Customer service resolved my issue within an hour, great experience."
17,The fabric started fraying after just two washes.
18,"It's okay for the price, wouldn't pay more than this."
19,"Completely broke on day one, requesting a refund."
20,"Love how lightweight it is, perfect for travel."
21,Delivery took three weeks longer than promised.
22,"Does the job, no surprises good or bad."
23,The interface is so intuitive my parents figured it out instantly.
24,Smells strongly of chemicals straight out of the box.
25,"Decent enough, I'll probably buy the upgraded version next."
26,This app drains my battery faster than any other app I own.
27,"Incredible value, didn't expect this quality at this price."
28,"It's neither good nor bad, just exists."
29,My order arrived damaged and missing parts.
30,The customer onboarding flow is the smoothest I've seen.
31,Works fine on wifi but constantly drops on mobile data.
32,"Solid build, nothing flashy, gets the job done."
33,"I've recommended this to three friends already, that good."
34,The subscription auto-renewed without any warning email.
35,"Looks exactly like the photos, happy with the purchase."
36,"Mediocre, wouldn't actively recommend but wouldn't warn against it either."
37,Support chat just looped me through the same three questions.
38,"Genuinely the best headphones I've owned, worth every rupee."
39,"It's a standard option, comparable to competitors."
40,"Screen cracked from a minor drop, fragile material."
41,"Setup wizard walked me through everything, zero confusion."
42,"Fine for casual use, wouldn't trust it for anything critical."
43,"Refund process took over a month, very frustrating."
44,"Exceeded expectations, the build quality feels premium."
45,"Just an average experience overall, nothing memorable."
