id,text,predicted_label,confidence,uncertainty,model_a,model_a_label,model_a_votes,model_b,model_b_label,model_b_votes,cross_model_disagree,cost_usd
6,"Arrived on time, packaging was okay, no complaints really.",positive,0.5,1.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,1,0.000265
42,"Fine for casual use, wouldn't trust it for anything critical.",neutral,0.5,1.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,negative,negative|negative|negative,1,0.000265
25,"Decent enough, I'll probably buy the upgraded version next.",positive,0.5,1.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,1,0.000265
15,Instructions were unclear but I figured it out eventually.,neutral,0.667,0.918,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,negative,negative|negative|neutral,1,0.00026
32,"Solid build, nothing flashy, gets the job done.",positive,0.667,0.918,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,neutral,neutral|positive|neutral,1,0.000262
31,Works fine on wifi but constantly drops on mobile data.,negative,0.833,0.65,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|neutral|negative,0,0.000262
5,The camera quality on this is shockingly good for the price.,positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000265
8,"Best purchase I've made this year, recommend to everyone.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000263
7,"Crashed twice during setup, had to factory reset.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
2,Setup took two minutes and it just worked. Genuinely impressed.,positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000267
3,"It's fine. Does what it says, nothing more.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000263
4,Customer support ignored three emails before I gave up.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.00026
1,"Battery lasts barely 4 hours, way short of the advertised 10.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000269
13,"Stopped charging after two weeks, total waste of money.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
12,"Average product, similar to others in this price range.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000262
11,"Five stars, exceeded what I expected at this price point.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000263
10,"Returned it after a week, build quality felt cheap.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
9,"It works as described, but the app UI feels dated.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000263
18,"It's okay for the price, wouldn't pay more than this.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000267
16,"Customer service resolved my issue within an hour, great experience.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000263
14,"Sound quality is incredible, bass is deep without distortion.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000261
21,Delivery took three weeks longer than promised.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000256
22,"Does the job, no surprises good or bad.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.00026
23,The interface is so intuitive my parents figured it out instantly.,positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000263
